new index,기존 index,시장명,소재지지번주소,위도,경도,법정동코드,행정동코드,시도명,시군구명,읍면동명,5일장,복합장,상설장,점포수,공중화장실보유여부,주차장보유여부,운영기간,대형마트,주차장,지하철역,학교,편의점,"주유소,충전소",문화시설,관광명소,음식점,카페,공시지가,행정동 인구,행정동 인구 0 - 4세,행정동 인구 5 - 9세,행정동 인구 10 - 14세,행정동 인구 15 - 19세,행정동 인구 20 - 24세,행정동 인구 25 - 29세,행정동 인구 30 - 34세,행정동 인구 35 - 39세,행정동 인구 40 - 44세,행정동 인구 45 - 49세,행정동 인구 50 - 54세,행정동 인구 55 - 59세,행정동 인구 60 - 64세,행정동 인구 65 - 69세,행정동 인구 70 - 74세,행정동 인구 75 - 79세,행정동 인구 80 - 84세,행정동 인구 85 - 89세,행정동 인구 90 - 94세,행정동 인구 95 - 99세,행정동 인구 100+,행정시구 인구,행정시구 인구 0 - 4세,행정시구 인구 5 - 9세,행정시구 인구 10 - 14세,행정시구 인구 15 - 19세,행정시구 인구 20 - 24세,행정시구 인구 25 - 29세,행정시구 인구 30 - 34세,행정시구 인구 35 - 39세,행정시구 인구 40 - 44세,행정시구 인구 45 - 49세,행정시구 인구 50 - 54세,행정시구 인구 55 - 59세,행정시구 인구 60 - 64세,행정시구 인구 65 - 69세,행정시구 인구 70 - 74세,행정시구 인구 75 - 79세,행정시구 인구 80 - 84세,행정시구 인구 85 - 89세,행정시구 인구 90 - 94세,행정시구 인구 95 - 99세,행정시구 인구 100+,시도별 소득월액,농산물이 주요품목
573,632,동대문종합시장,서울특별시 종로구 종로6가 262-1,37.57071,127.0073,1111016400,1111063000,서울특별시,종로구,종로5.6가동,0,0,1,4000,1,1,52,2,196,11,11,125,1,71,28,1863,409,8934242,5242,54,64,84,147,392,688,427,283,247,340,477,500,425,325,287,240,152,63,28,10,9,149384,3080,4447,5152,5861,10474,12942,10084,9859,9949,12282,12892,12567,11484,8464,6732,5768,3999,1979,802,291,276,1450383,0
1798,2669,합정시장,서울특별시 마포구 합정동 375-1,37.54821,126.9132,1144012200,1144068000,서울특별시,마포구,합정동,0,0,1,0,1,0,51,1,110,4,2,96,1,75,9,2340,817,7403093,18229,689,434,442,508,1239,2359,2019,1719,1386,1269,1161,1206,1110,824,666,550,371,171,75,11,20,371890,11503,13396,13770,14602,25662,36242,32085,32401,29269,31726,28739,25516,22977,16582,13271,11038,7419,3677,1313,356,346,1463518,0
252,255,대덕시장,대구광역시 남구 대명동 1919-1,35.8523,128.5828,2720010300,2720058600,대구광역시,남구,대명3동,0,0,1,3,1,0,51,0,85,4,18,45,8,25,4,759,202,1254512.5,11062,165,206,251,376,717,801,580,575,662,836,911,1085,1070,918,729,570,363,171,54,12,10,146632,2949,3872,4132,5287,9352,11105,8330,8848,9268,11135,12279,12688,13200,10794,8378,6757,4775,2457,766,173,87,1244107,0
173,176,용성공설시장,경상북도 경산시 용성면 당리리 52-3,35.79494,128.8754,4729034021,4729034000,경상북도,경산시,용성면,1,0,0,5,0,0,51,1,1,0,2,1,2,0,2,9,0,220089,3346,25,51,44,62,101,108,98,108,115,155,238,372,438,417,324,280,222,136,48,3,1,263728,8755,11721,10964,11736,18212,18017,15094,18098,19232,22336,22931,21922,20131,14770,10956,8439,6173,3081,934,161,65,1280563,1
185,188,신평,경상북도 의성군 신평면 교안리 312-6,36.47036,128.5062,4773045037,4773045000,경상북도,의성군,신평면,1,0,0,7,1,0,51,0,0,0,1,0,0,0,10,2,0,7284,815,18,5,3,10,8,14,12,19,11,36,66,81,86,89,69,119,96,51,20,2,0,51724,1009,902,1048,1248,1571,1583,1497,1746,1967,2733,3680,5034,6228,5561,4485,4453,3912,2223,667,129,48,1150474,1
1135,1361,노룬산시장(건물형),서울특별시 광진구 자양동 44-2,37.53649,127.0649,1121510500,1121584700,서울특별시,광진구,자양제4동,0,0,1,21,1,1,51,2,68,3,8,95,3,16,9,1534,376,5229834,17810,335,375,365,514,1050,1657,1332,1280,1132,1336,1450,1670,1700,1292,970,649,427,181,64,14,17,346682,8351,11221,12237,13694,26193,36747,29113,26870,24874,27608,28122,26419,24922,17538,12852,9576,6105,2745,990,287,218,1368980,1
848,941,응암시장,서울특별시 은평구 응암동 427-126,37.59438,126.9184,1138010700,1138059000,서울특별시,은평구,응암제2동,0,0,1,22,0,0,51,4,35,2,9,86,4,2,3,1028,187,3950911,27569,1552,1713,1178,1091,1310,1452,1990,3063,2737,2451,1965,1648,1666,1226,965,748,475,230,69,17,23,479835,12839,16865,18077,20599,29682,37376,32478,36024,35746,40882,39783,37491,36983,27455,22013,17108,11055,4842,1658,454,425,1358067,0
1843,2726,주안자유시장,인천광역시 미추홀구 주안동 549-1,37.45556,126.6761,2817710500,2817763000,인천광역시,미추홀구,주안2동,0,0,1,24,1,1,51,0,72,1,3,93,10,6,0,1101,130,1827532,16747,366,525,526,564,951,1174,929,1146,1084,1262,1393,1500,1633,1196,946,729,451,252,90,18,12,404343,11821,15372,15001,16657,26227,31104,25940,29757,30133,33274,33377,33810,32796,22833,17797,13460,8607,4219,1579,402,177,1277710,0
1106,1312,조양시장(건물형),서울특별시 광진구 자양동 6-20,37.539,127.0675,1121510500,1121584700,서울특별시,광진구,자양제4동,0,0,1,30,1,0,51,2,79,3,10,120,3,21,8,1653,427,5229834,17810,335,375,365,514,1050,1657,1332,1280,1132,1336,1450,1670,1700,1292,970,649,427,181,64,14,17,346682,8351,11221,12237,13694,26193,36747,29113,26870,24874,27608,28122,26419,24922,17538,12852,9576,6105,2745,990,287,218,1368980,0
358,373,서대구시장,대구광역시 달서구 두류동 1216-1,35.86055,128.5707,2729010200,2729053500,대구광역시,달서구,두류1.2동,0,0,1,35,1,0,51,2,84,2,9,29,7,6,7,565,104,1334599,14714,258,337,323,407,939,1432,968,917,819,1016,1250,1332,1429,1086,816,699,430,189,50,11,6,558631,16116,24157,25645,29595,40323,38950,30904,35675,40458,48983,52982,50682,43515,29818,20058,14247,9915,4791,1413,313,91,1367385,0
