,총지수,백화점,대형마트,면세점,슈퍼마켓 및 잡화점,체인 슈퍼마켓,일반 슈퍼마켓 및 잡화점,편의점,승용차 및 연료 소매점,승용차 소매점,연료 소매점,전문소매점,가전·컴퓨터·통신기기 소매점,의복·신발·가방 소매점,음식·가정· 문화상품 소매점,의약품·화장품·기타상품 소매점,무점포 소매,인터넷 쇼핑,홈쇼핑,방문 및 배달 소매점
2013,94.100 ,108.200 ,106.900 ,78.100 ,98.600 ,96.300 ,100.300 ,87.600 ,83.300 ,70.800 ,93.400 ,102.400 ,104.700 ,,,,86.500 ,75.500 ,98.100 ,111.400 
2014,96.100 ,102.600 ,103.400 ,92.100 ,100.300 ,97.800 ,102.100 ,94.900 ,88.800 ,82.600 ,93.800 ,100.500 ,96.600 ,,,,92.600 ,86.100 ,100.600 ,105.900 
2015,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 
2016,103.900 ,101.500 ,99.700 ,133.600 ,100.300 ,101.400 ,99.700 ,117.100 ,102.900 ,102.800 ,103.100 ,100.000 ,99.800 ,100.600 ,96.300 ,103.600 ,114.200 ,122.500 ,109.400 ,94.500 
2017,105.900 ,98.700 ,99.500 ,158.900 ,100.400 ,104.200 ,98.500 ,132.100 ,103.400 ,103.700 ,103.100 ,98.100 ,105.400 ,98.700 ,89.000 ,102.400 ,128.800 ,145.700 ,116.300 ,92.300 
2018,110.500 ,99.900 ,96.800 ,209.300 ,100.400 ,106.800 ,97.000 ,143.500 ,107.800 ,112.200 ,103.800 ,98.100 ,107.300 ,101.200 ,84.400 ,103.100 ,147.000 ,174.500 ,127.500 ,86.200 
2019,113.100 ,101.200 ,93.700 ,274.100 ,95.300 ,107.900 ,88.700 ,150.600 ,110.400 ,115.300 ,105.900 ,94.400 ,94.900 ,96.500 ,82.700 ,104.900 ,166.200 ,207.900 ,130.000 ,82.800 
2020,112.900 ,90.500 ,94.800 ,171.200 ,96.700 ,112.100 ,88.700 ,151.800 ,118.900 ,134.100 ,104.900 ,84.100 ,92.000 ,73.900 ,80.500 ,94.300 ,203.600 ,272.400 ,137.900 ,74.000 
